MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date,TotalSentiments
2008-04,344.0,667.0,138.0,Neutral,29.939077458659703,58.050478677110526,12.010443864229766,2008-04,1149.0
2008-05,295.0,632.0,134.0,Neutral,27.80395852968897,59.56644674835061,12.629594721960416,2008-05,1061.0
2008-06,331.0,734.0,125.0,Neutral,27.81512605042017,61.680672268907564,10.504201680672269,2008-06,1190.0
2008-07,409.0,587.0,150.0,Neutral,35.68935427574171,51.22164048865619,13.089005235602095,2008-07,1146.0
2008-08,341.0,547.0,150.0,Neutral,32.85163776493256,52.69749518304432,14.450867052023122,2008-08,1038.0
2008-09,459.0,680.0,142.0,Neutral,35.831381733021075,53.08352849336456,11.085089773614364,2008-09,1281.0
2008-10,558.0,776.0,141.0,Neutral,37.83050847457627,52.610169491525426,9.559322033898306,2008-10,1475.0
2008-11,431.0,684.0,124.0,Neutral,34.786117836965296,55.205811138014525,10.008071025020177,2008-11,1239.0
2008-12,409.0,554.0,86.0,Neutral,38.989513822688274,52.81220209723546,8.198284080076263,2008-12,1049.0
2009-01,450.0,631.0,121.0,Neutral,37.437603993344425,52.495840266222956,10.066555740432612,2009-01,1202.0
2009-02,325.0,729.0,109.0,Neutral,27.94496990541703,62.68271711092004,9.37231298366294,2009-02,1163.0
2009-03,332.0,701.0,143.0,Neutral,28.2312925170068,59.60884353741497,12.15986394557823,2009-03,1176.0
2009-04,256.0,543.0,174.0,Neutral,26.3103802672148,55.80678314491264,17.882836587872557,2009-04,973.0
2009-05,242.0,588.0,137.0,Neutral,25.0258531540848,60.80661840744571,14.167528438469493,2009-05,967.0
2009-06,190.0,542.0,128.0,Neutral,22.093023255813954,63.0232558139535,14.883720930232558,2009-06,860.0
2009-07,184.0,510.0,148.0,Neutral,21.852731591448933,60.57007125890736,17.577197149643705,2009-07,842.0
2009-08,178.0,456.0,170.0,Neutral,22.139303482587064,56.71641791044776,21.144278606965177,2009-08,804.0
2009-09,151.0,543.0,187.0,Neutral,17.13961407491487,61.634506242905786,21.22587968217934,2009-09,881.0
2009-10,183.0,603.0,161.0,Neutral,19.32418162618796,63.674762407602955,17.00105596620908,2009-10,947.0
2009-11,161.0,518.0,156.0,Neutral,19.281437125748504,62.03592814371257,18.682634730538922,2009-11,835.0
2009-12,136.0,489.0,141.0,Neutral,17.75456919060052,63.838120104438644,18.407310704960835,2009-12,766.0
2010-01,169.0,531.0,146.0,Neutral,19.976359338061467,62.76595744680851,17.257683215130022,2010-01,846.0
2010-02,205.0,440.0,131.0,Neutral,26.417525773195877,56.70103092783505,16.881443298969074,2010-02,776.0
2010-03,177.0,559.0,128.0,Neutral,20.48611111111111,64.69907407407408,14.814814814814813,2010-03,864.0
2010-04,161.0,417.0,119.0,Neutral,23.09899569583931,59.82783357245337,17.073170731707318,2010-04,697.0
2010-05,222.0,443.0,102.0,Neutral,28.943937418513688,57.75749674054759,13.298565840938723,2010-05,767.0
2010-06,194.0,476.0,100.0,Neutral,25.19480519480519,61.81818181818181,12.987012987012985,2010-06,770.0
