Date,fuel_price,fuel_price_lag_1,fuel_price_lag_2,fuel_price_lag_3,fuel_price_lag_4,fuel_price_lag_5,fuel_price_lag_6,CPI,CPI_lag_1,CPI_lag_2,CPI_lag_3,CPI_lag_4,CPI_lag_5,CPI_lag_6,stock_value,stock_value_lag_1,stock_value_lag_2,stock_value_lag_3,stock_value_lag_4,Year,Exports,Imports,Cereal_Production,Food_Production,cereal_production_lag_1,food_prod_lag_1,food_prod_lag_2,food_prod_lag_3,food_prod_lag_4,food_prod_lag_5,food_prod_lag_6,food_prod_lag_7,food_prod_lag_8,food_prod_lag_9,interest,intrest_lag1,intrest_lag2,intrest_lag3,intrest_lag4,intrest_lag5,intrest_lag6
1991-08-01,1.115,1.096,1.128,1.126,1.076,1.04,1.094,1.657875,2.64151,4.328018,4.583652,4.500381,3.108415,2.725208,6857.23,6836.09,6577.98,6872.43,6575.68,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.66,5.82,5.9,5.78,5.91,6.12,6.25
1991-09-01,1.109,1.115,1.096,1.128,1.126,1.076,1.04,1.504891,1.657875,2.64151,4.328018,4.583652,4.500381,3.108415,6766.62,6857.23,6836.09,6577.98,6872.43,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.45,5.66,5.82,5.9,5.78,5.91,6.12
1991-10-01,1.088,1.109,1.115,1.096,1.128,1.126,1.076,0.7496252,1.504891,1.657875,2.64151,4.328018,4.583652,4.500381,6874.78,6766.62,6857.23,6836.09,6577.98,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.21,5.45,5.66,5.82,5.9,5.78,5.91
1991-11-01,1.099,1.088,1.109,1.115,1.096,1.128,1.126,0.896861,0.7496252,1.504891,1.657875,2.64151,4.328018,4.583652,6466.72,6874.78,6766.62,6857.23,6836.09,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,4.81,5.21,5.45,5.66,5.82,5.9,5.78
1991-12-01,1.076,1.099,1.088,1.109,1.115,1.096,1.128,1.270553,0.896861,0.7496252,1.504891,1.657875,2.64151,4.328018,7072.83,6466.72,6874.78,6766.62,6857.23,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,4.43,4.81,5.21,5.45,5.66,5.82,5.9
1992-01-01,1.022,1.076,1.099,1.088,1.109,1.115,1.096,0.0,1.270553,0.896861,0.7496252,1.504891,1.657875,2.64151,7184.96,7072.83,6466.72,6874.78,6766.62,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,4.03,4.43,4.81,5.21,5.45,5.66,5.82
1992-02-01,1.006,1.022,1.076,1.099,1.088,1.109,1.115,0.6632277,0.0,1.270553,0.896861,0.7496252,1.504891,1.657875,7257.56,7184.96,7072.83,6466.72,6874.78,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,4.06,4.03,4.43,4.81,5.21,5.45,5.66
1992-03-01,1.013,1.006,1.022,1.076,1.099,1.088,1.109,1.102941,0.6632277,0.0,1.270553,0.896861,0.7496252,1.504891,7150.46,7257.56,7184.96,7072.83,6466.72,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.98,4.06,4.03,4.43,4.81,5.21,5.45
1992-04-01,1.052,1.013,1.006,1.022,1.076,1.099,1.088,0.2919708,1.102941,0.6632277,0.0,1.270553,0.896861,0.7496252,7410.17,7150.46,7257.56,7184.96,7072.83,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.73,3.98,4.06,4.03,4.43,4.81,5.21
1992-05-01,1.107,1.052,1.013,1.006,1.022,1.076,1.099,-0.5113221,0.2919708,1.102941,0.6632277,0.0,1.270553,0.896861,7483.37,7410.17,7150.46,7257.56,7184.96,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.82,3.73,3.98,4.06,4.03,4.43,4.81
1992-06-01,1.145,1.107,1.052,1.013,1.006,1.022,1.076,-0.9461427,-0.5113221,0.2919708,1.102941,0.6632277,0.0,1.270553,7284.11,7483.37,7410.17,7150.46,7257.56,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.76,3.82,3.73,3.98,4.06,4.03,4.43
1992-07-01,1.137,1.145,1.107,1.052,1.013,1.006,1.022,-0.2205882,-0.9461427,-0.5113221,0.2919708,1.102941,0.6632277,0.0,7435.82,7284.11,7483.37,7410.17,7150.46,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.25,3.76,3.82,3.73,3.98,4.06,4.03
1992-08-01,1.122,1.137,1.145,1.107,1.052,1.013,1.006,1.48258,-0.2205882,-0.9461427,-0.5113221,0.2919708,1.102941,0.6632277,7114.16,7435.82,7284.11,7483.37,7410.17,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.3,3.25,3.76,3.82,3.73,3.98,4.06
1992-09-01,1.122,1.122,1.137,1.145,1.107,1.052,1.013,1.853225,1.48258,-0.2205882,-0.9461427,-0.5113221,0.2919708,1.102941,7125.76,7114.16,7435.82,7284.11,7483.37,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.22,3.3,3.25,3.76,3.82,3.73,3.98
1992-10-01,1.114,1.122,1.122,1.137,1.145,1.107,1.052,2.083333,1.853225,1.48258,-0.2205882,-0.9461427,-0.5113221,0.2919708,7004.3,7125.76,7114.16,7435.82,7284.11,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.1,3.22,3.3,3.25,3.76,3.82,3.73
1992-11-01,1.111,1.114,1.122,1.122,1.137,1.145,1.107,1.481481,2.083333,1.853225,1.48258,-0.2205882,-0.9461427,-0.5113221,7165.67,7004.3,7125.76,7114.16,7435.82,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,3.09,3.1,3.22,3.3,3.25,3.76,3.82
1992-12-01,1.078,1.111,1.114,1.122,1.122,1.137,1.145,1.476015,1.481481,2.083333,1.853225,1.48258,-0.2205882,-0.9461427,7160.11,7165.67,7004.3,7125.76,7114.16,1992,20434935312.409916,16952370588.266962,353025147.4,73.34,67.32,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,2.92,3.09,3.1,3.22,3.3,3.25,3.76
1993-01-01,1.062,1.078,1.111,1.114,1.122,1.122,1.137,1.979472,1.476015,1.481481,2.083333,1.853225,1.48258,-0.2205882,7142.98,7160.11,7165.67,7004.3,7125.76,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.02,2.92,3.09,3.1,3.22,3.3,3.25
1993-02-01,1.054,1.062,1.078,1.111,1.114,1.122,1.122,1.830161,1.979472,1.476015,1.481481,2.083333,1.853225,1.48258,7250.61,7142.98,7160.11,7165.67,7004.3,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.03,3.02,2.92,3.09,3.1,3.22,3.3
1993-03-01,1.052,1.054,1.062,1.078,1.111,1.114,1.122,1.381818,1.830161,1.979472,1.476015,1.481481,2.083333,1.853225,7361.44,7250.61,7142.98,7160.11,7165.67,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.07,3.03,3.02,2.92,3.09,3.1,3.22
1993-04-01,1.078,1.052,1.054,1.062,1.078,1.111,1.114,1.892285,1.381818,1.830161,1.979472,1.476015,1.481481,2.083333,7324.67,7361.44,7250.61,7142.98,7160.11,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,2.96,3.07,3.03,3.02,2.92,3.09,3.1
1993-05-01,1.1,1.078,1.052,1.054,1.062,1.078,1.111,3.303965,1.892285,1.381818,1.830161,1.979472,1.476015,1.481481,7527.54,7324.67,7361.44,7250.61,7142.98,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.0,2.96,3.07,3.03,3.02,2.92,3.09
1993-06-01,1.097,1.1,1.078,1.052,1.054,1.062,1.078,2.351212,3.303965,1.892285,1.381818,1.830161,1.979472,1.476015,7496.28,7527.54,7324.67,7361.44,7250.61,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.04,3.0,2.96,3.07,3.03,3.02,2.92
1993-07-01,1.078,1.097,1.1,1.078,1.052,1.054,1.062,2.505527,2.351212,3.303965,1.892285,1.381818,1.830161,1.979472,7546.15,7496.28,7527.54,7324.67,7361.44,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.06,3.04,3.0,2.96,3.07,3.03,3.02
1993-08-01,1.062,1.078,1.097,1.1,1.078,1.052,1.054,2.045289,2.505527,2.351212,3.303965,1.892285,1.381818,1.830161,7762.56,7546.15,7496.28,7527.54,7324.67,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.03,3.06,3.04,3.0,2.96,3.07,3.03
1993-09-01,1.05,1.062,1.078,1.097,1.1,1.078,1.052,1.892285,2.045289,2.505527,2.351212,3.303965,1.892285,1.381818,7540.41,7762.56,7546.15,7496.28,7527.54,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.09,3.03,3.06,3.04,3.0,2.96,3.07
1993-10-01,1.092,1.05,1.062,1.078,1.097,1.1,1.078,2.623907,1.892285,2.045289,2.505527,2.351212,3.303965,1.892285,7773.41,7540.41,7762.56,7546.15,7496.28,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,2.99,3.09,3.03,3.06,3.04,3.0,2.96
1993-11-01,1.066,1.092,1.05,1.062,1.078,1.097,1.1,3.065693,2.623907,1.892285,2.045289,2.505527,2.351212,3.303965,7776.82,7773.41,7540.41,7762.56,7546.15,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,3.02,2.99,3.09,3.03,3.06,3.04,3.0
1993-12-01,1.014,1.066,1.092,1.05,1.062,1.078,1.097,3.490909,3.065693,2.623907,1.892285,2.045289,2.505527,2.351212,7924.88,7776.82,7773.41,7540.41,7762.56,1993,23386794345.355995,17317564519.695118,259105342.4,67.27,73.34,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,65.41,2.96,3.02,2.99,3.09,3.03,3.06,3.04
1994-01-01,0.998,1.014,1.066,1.092,1.05,1.062,1.078,3.378864,3.490909,3.065693,2.623907,1.892285,2.045289,2.505527,8374.45,7924.88,7776.82,7773.41,7540.41,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,3.05,2.96,3.02,2.99,3.09,3.03,3.06
1994-02-01,1.009,0.998,1.014,1.066,1.092,1.05,1.062,2.516176,3.378864,3.490909,3.065693,2.623907,1.892285,2.045289,8039.58,8374.45,7924.88,7776.82,7773.41,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,3.25,3.05,2.96,3.02,2.99,3.09,3.03
1994-03-01,1.008,1.009,0.998,1.014,1.066,1.092,1.05,2.439024,2.516176,3.378864,3.490909,3.065693,2.623907,1.892285,7602.79,8039.58,8374.45,7924.88,7776.82,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,3.34,3.25,3.05,2.96,3.02,2.99,3.09
1994-04-01,1.027,1.008,1.009,0.998,1.014,1.066,1.092,2.142857,2.439024,2.516176,3.378864,3.490909,3.065693,2.623907,7687.37,7602.79,8039.58,8374.45,7924.88,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,3.56,3.34,3.25,3.05,2.96,3.02,2.99
1994-05-01,1.047,1.027,1.008,1.009,0.998,1.014,1.066,1.634684,2.142857,2.439024,2.516176,3.378864,3.490909,3.065693,7843.72,7687.37,7602.79,8039.58,8374.45,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,4.01,3.56,3.34,3.25,3.05,2.96,3.02
1994-06-01,1.078,1.047,1.027,1.008,1.009,0.998,1.014,2.58435,1.634684,2.142857,2.439024,2.516176,3.378864,3.490909,7539.92,7843.72,7687.37,7602.79,8039.58,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,4.25,4.01,3.56,3.34,3.25,3.05,2.96
1994-07-01,1.106,1.078,1.047,1.027,1.008,1.009,0.998,3.522645,2.58435,1.634684,2.142857,2.439024,2.516176,3.378864,7807.57,7539.92,7843.72,7687.37,7602.79,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,4.26,4.25,4.01,3.56,3.34,3.25,3.05
1994-08-01,1.155,1.106,1.078,1.047,1.027,1.008,1.009,3.579098,3.522645,2.58435,1.634684,2.142857,2.439024,2.516176,8085.13,7807.57,7539.92,7843.72,7687.37,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,4.47,4.26,4.25,4.01,3.56,3.34,3.25
1994-09-01,1.144,1.155,1.106,1.078,1.047,1.027,1.008,3.571429,3.579098,3.522645,2.58435,1.634684,2.142857,2.439024,7916.97,8085.13,7807.57,7539.92,7843.72,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,4.73,4.47,4.26,4.25,4.01,3.56,3.34
1994-10-01,1.114,1.144,1.155,1.106,1.078,1.047,1.027,2.840909,3.571429,3.579098,3.522645,2.58435,1.634684,2.142857,8046.82,7916.97,8085.13,7807.57,7539.92,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,4.76,4.73,4.47,4.26,4.25,4.01,3.56
1994-11-01,1.116,1.114,1.144,1.155,1.106,1.078,1.047,2.76204,2.840909,3.571429,3.579098,3.522645,2.58435,1.634684,7687.86,8046.82,7916.97,8085.13,7807.57,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,5.29,4.76,4.73,4.47,4.26,4.25,4.01
1994-12-01,1.091,1.116,1.114,1.144,1.155,1.106,1.078,3.513703,2.76204,2.840909,3.571429,3.579098,3.522645,2.58435,7883.61,7687.86,8046.82,7916.97,8085.13,1994,31559583773.84756,17166784499.85469,355934923.6,77.0,67.27,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,68.59,5.45,5.29,4.76,4.73,4.47,4.26,4.25
1995-01-01,1.082,1.091,1.116,1.114,1.144,1.155,1.106,3.059805,3.513703,2.76204,2.840909,3.571429,3.579098,3.522645,7872.23,7883.61,7687.86,8046.82,7916.97,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.53,5.45,5.29,4.76,4.73,4.47,4.26
1995-02-01,1.073,1.082,1.091,1.116,1.114,1.144,1.155,3.71669,3.059805,3.513703,2.76204,2.840909,3.571429,3.579098,8182.54,7872.23,7883.61,7687.86,8046.82,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.92,5.53,5.45,5.29,4.76,4.73,4.47
1995-03-01,1.072,1.073,1.082,1.091,1.116,1.114,1.144,3.361345,3.71669,3.059805,3.513703,2.76204,2.840909,3.571429,8452.58,8182.54,7872.23,7883.61,7687.86,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.98,5.92,5.53,5.45,5.29,4.76,4.73
1995-04-01,1.111,1.072,1.073,1.082,1.091,1.116,1.114,4.335664,3.361345,3.71669,3.059805,3.513703,2.76204,2.840909,8754.89,8452.58,8182.54,7872.23,7883.61,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,6.05,5.98,5.92,5.53,5.45,5.29,4.76
1995-05-01,1.178,1.111,1.072,1.073,1.082,1.091,1.116,3.986014,4.335664,3.361345,3.71669,3.059805,3.513703,2.76204,9028.51,8754.89,8452.58,8182.54,7872.23,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,6.01,6.05,5.98,5.92,5.53,5.45,5.29
1995-06-01,1.192,1.178,1.111,1.072,1.073,1.082,1.091,3.638908,3.986014,4.335664,3.361345,3.71669,3.059805,3.513703,9194.21,9028.51,8754.89,8452.58,8182.54,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,6.0,6.01,6.05,5.98,5.92,5.53,5.45
1995-07-01,1.154,1.192,1.178,1.111,1.072,1.073,1.082,2.916667,3.638908,3.986014,4.335664,3.361345,3.71669,3.059805,9501.69,9194.21,9028.51,8754.89,8452.58,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.85,6.0,6.01,6.05,5.98,5.92,5.53
1995-08-01,1.123,1.154,1.192,1.178,1.111,1.072,1.073,2.557014,2.916667,3.638908,3.986014,4.335664,3.361345,3.71669,9281.06,9501.69,9194.21,9028.51,8754.89,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.74,5.85,6.0,6.01,6.05,5.98,5.92
1995-09-01,1.111,1.123,1.154,1.192,1.178,1.111,1.072,2.896552,2.557014,2.916667,3.638908,3.986014,4.335664,3.361345,9621.26,9281.06,9501.69,9194.21,9028.51,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.8,5.74,5.85,6.0,6.01,6.05,5.98
1995-10-01,1.087,1.111,1.123,1.154,1.192,1.178,1.111,3.383978,2.896552,2.557014,2.916667,3.638908,3.986014,4.335664,9525.23,9621.26,9281.06,9501.69,9194.21,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.76,5.8,5.74,5.85,6.0,6.01,6.05
1995-11-01,1.062,1.087,1.111,1.123,1.154,1.192,1.178,3.032392,3.383978,2.896552,2.557014,2.916667,3.638908,3.986014,10169.28,9525.23,9621.26,9281.06,9501.69,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.8,5.76,5.8,5.74,5.85,6.0,6.01
1995-12-01,1.071,1.062,1.087,1.111,1.123,1.154,1.192,2.03666,3.032392,3.383978,2.896552,2.557014,2.916667,3.638908,10259.83,10169.28,9525.23,9621.26,9281.06,1995,40453991699.621376,15441802803.804659,277601210.0,71.51,77.0,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,66.19,5.6,5.8,5.76,5.8,5.74,5.85,6.0
1996-01-01,1.09,1.071,1.062,1.087,1.111,1.123,1.154,2.496626,2.03666,3.032392,3.383978,2.896552,2.557014,2.916667,10752.83,10259.83,10169.28,9525.23,9621.26,1996,46834719748.68107,15121809973.546627,335780123.1,76.52,71.51,71.51,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,5.56,5.6,5.8,5.76,5.8,5.74,5.85
1996-02-01,1.089,1.09,1.071,1.062,1.087,1.111,1.123,2.366464,2.496626,2.03666,3.032392,3.383978,2.896552,2.557014,10899.93,10752.83,10259.83,10169.28,9525.23,1996,46834719748.68107,15121809973.546627,335780123.1,76.52,71.51,71.51,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,5.22,5.56,5.6,5.8,5.76,5.8,5.74
1996-03-01,1.137,1.089,1.09,1.071,1.062,1.087,1.111,3.319783,2.366464,2.496626,2.03666,3.032392,3.383978,2.896552,11045.78,10899.93,10752.83,10259.83,10169.28,1996,46834719748.68107,15121809973.546627,335780123.1,76.52,71.51,71.51,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,5.31,5.22,5.56,5.6,5.8,5.76,5.8
1996-04-01,1.231,1.137,1.089,1.09,1.071,1.062,1.087,2.747989,3.319783,2.366464,2.496626,2.03666,3.032392,3.383978,10965.52,11045.78,10899.93,10752.83,10259.83,1996,46834719748.68107,15121809973.546627,335780123.1,76.52,71.51,71.51,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,5.22,5.31,5.22,5.56,5.6,5.8,5.76
1996-05-01,1.279,1.231,1.137,1.089,1.09,1.071,1.062,2.62273,2.747989,3.319783,2.366464,2.496626,2.03666,3.032392,11088.85,10965.52,11045.78,10899.93,10752.83,1996,46834719748.68107,15121809973.546627,335780123.1,76.52,71.51,71.51,77.0,67.27,73.34,67.32,68.81,66.52,60.46,65.48,5.24,5.22,5.31,5.22,5.56,5.6,5.8
