number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout_rate,params_hidden1,params_hidden2,params_learning_rate,state
78,2.953250299346806,2023-11-21 17:53:51.860888,2023-11-21 17:59:11.224925,0 days 00:05:19.364037,sigmoid,0.13351326565048352,110,54,1.488004846722826e-05,COMPLETE
49,2.958865243700135,2023-11-21 15:26:05.576589,2023-11-21 15:31:14.807749,0 days 00:05:09.231160,sigmoid,0.21743250147775414,136,60,2.232124425040198e-05,COMPLETE
31,3.0319592658619934,2023-11-21 14:08:42.194274,2023-11-21 14:14:15.905215,0 days 00:05:33.710941,sigmoid,0.2651651079476311,158,70,1.755054089734924e-05,COMPLETE
65,3.0375777886271047,2023-11-21 16:48:37.585181,2023-11-21 16:53:58.112176,0 days 00:05:20.526995,sigmoid,0.21482521870127358,138,78,1.6290700645868717e-05,COMPLETE
53,3.112838570033854,2023-11-21 15:48:46.525977,2023-11-21 15:54:08.058715,0 days 00:05:21.532738,sigmoid,0.1717026458191802,148,74,1.850529593697697e-05,COMPLETE
69,3.1162099592376253,2023-11-21 17:09:51.992247,2023-11-21 17:15:18.129714,0 days 00:05:26.137467,sigmoid,0.1630302172865347,150,71,1.530625164835348e-05,COMPLETE
76,3.134756833194478,2023-11-21 17:43:14.888167,2023-11-21 17:48:28.266293,0 days 00:05:13.378126,sigmoid,0.12065356090962681,106,51,3.1634657404272766e-05,COMPLETE
52,3.1348349549313124,2023-11-21 15:42:27.224232,2023-11-21 15:48:46.525381,0 days 00:06:19.301149,sigmoid,0.12153574917350984,123,71,2.723684039369286e-05,COMPLETE
16,3.1927318483461997,2023-11-21 12:48:35.692573,2023-11-21 12:53:51.490229,0 days 00:05:15.797656,sigmoid,0.25796254429275806,112,75,2.489272672480077e-05,COMPLETE
73,3.225262596303729,2023-11-21 17:27:25.224523,2023-11-21 17:32:46.583835,0 days 00:05:21.359312,sigmoid,0.11349693294499749,114,74,1.5264401594836526e-05,COMPLETE
42,3.240469871951613,2023-11-21 14:53:34.400251,2023-11-21 14:58:45.653250,0 days 00:05:11.252999,sigmoid,0.1939897506506213,145,72,1.5222655522103242e-05,COMPLETE
